iter	RMSE
0	1695.01043
1	1683.221495
2	1671.759655
3	1660.533063
4	1649.502915
5	1638.741274
6	1628.088227
7	1617.66428
8	1607.515796
9	1597.453749
10	1587.973177
11	1578.312338
12	1568.93158
13	1559.537839
14	1550.371043
15	1541.559134
16	1532.868607
17	1524.15992
18	1515.677439
19	1507.393835
20	1499.530799
21	1491.575846
22	1483.743562
23	1476.226306
24	1468.634716
25	1461.304258
26	1454.053567
27	1446.845421
28	1439.80097
29	1432.797679
30	1426.102887
31	1419.444539
32	1413.149077
33	1407.652054
34	1401.556508
35	1395.405144
36	1389.331173
37	1383.356406
38	1377.800442
39	1372.096673
40	1366.470508
41	1361.093657
42	1355.730577
43	1350.568325
44	1345.401591
45	1340.291916
46	1335.387624
47	1330.628746
48	1326.436542
49	1321.676191
50	1317.103561
51	1312.514788
52	1307.999266
53	1303.760693
54	1299.725183
55	1296.108757
56	1291.939274
57	1288.389971
58	1284.639714
59	1280.775865
60	1277.031756
61	1273.123315
62	1269.479742
63	1265.984899
64	1262.600844
65	1258.98085
66	1255.572364
67	1252.104705
68	1248.913393
69	1246.068147
70	1243.164637
71	1240.119805
72	1237.164615
73	1234.35039
74	1231.846885
75	1229.143761
76	1226.161341
77	1223.817372
78	1221.18648
79	1218.863463
80	1216.330458
81	1214.053623
82	1211.688248
83	1209.382015
84	1207.028792
85	1204.443547
86	1202.258198
87	1200.397164
88	1198.388448
89	1196.343998
90	1193.926697
91	1191.965088
92	1190.288455
93	1188.520886
94	1186.61994
95	1184.909437
96	1183.34346
97	1181.881311
98	1180.16619
99	1178.442759
100	1176.743196
101	1175.261833
102	1173.23537
103	1171.7019
104	1169.327857
105	1166.993324
106	1164.748068
107	1162.561041
108	1160.342478
109	1158.629262
110	1156.640448
111	1154.594216
112	1152.61558
113	1150.639721
114	1148.757335
115	1147.033938
116	1145.201525
117	1143.470454
118	1141.716924
119	1140.04402
120	1138.372395
121	1136.929015
122	1135.367475
123	1133.886057
124	1132.440218
125	1131.555627
126	1130.135029
127	1128.82432
128	1127.418748
129	1126.095665
130	1125.326022
131	1124.103641
132	1122.795531
133	1121.55791
134	1120.72654
135	1119.502663
136	1118.402268
137	1117.247947
138	1116.111063
139	1115.0329
140	1114.367268
141	1113.532537
142	1112.898561
143	1111.969226
144	1110.998501
145	1110.053852
146	1109.43939
147	1108.573458
148	1107.666877
149	1106.764055
150	1106.056505
151	1105.243389
152	1104.699237
153	1103.923217
154	1103.159869
155	1102.395179
156	1101.630338
157	1100.98597
158	1100.308424
159	1099.596762
160	1098.953515
161	1098.366049
162	1097.902911
163	1097.234676
164	1096.641165
165	1096.153719
166	1095.571972
167	1095.092842
168	1094.52217
169	1093.990854
170	1093.491426
171	1092.956354
172	1092.434649
173	1091.944138
174	1091.639483
175	1091.253384
176	1090.746957
177	1090.369819
178	1090.120452
179	1089.801391
180	1089.386024
181	1089.104803
182	1088.695691
183	1088.304917
184	1088.052693
185	1087.811524
186	1087.440957
187	1087.105892
188	1086.838147
189	1086.468461
190	1086.207508
191	1085.931933
192	1085.674715
193	1085.323361
194	1085.046622
195	1084.781714
196	1084.464401
197	1084.254649
198	1084.033915
199	1083.809925
200	1083.608932
201	1083.39043
202	1083.216842
203	1082.987311
204	1082.887374
205	1082.749833
206	1082.479946
207	1082.206952
208	1081.987589
209	1081.703329
210	1081.579396
211	1081.4014
212	1081.183026
213	1081.059528
214	1080.880723
215	1080.72076
216	1080.491085
217	1080.259481
218	1080.087405
219	1079.976241
220	1079.831104
221	1079.688636
222	1079.635267
223	1079.531017
224	1079.476992
225	1079.323911
