iter	RMSE
0	1658.316214
1	1613.649104
2	1571.830794
3	1532.711597
4	1496.352558
5	1464.893362
6	1434.980649
7	1405.606205
8	1379.920444
9	1355.129204
10	1332.247501
11	1310.838883
12	1290.697561
13	1273.83235
14	1257.981964
15	1243.086493
16	1229.346052
17	1216.49279
18	1203.775629
19	1193.582022
20	1183.545718
21	1174.122879
22	1164.934735
23	1156.907672
24	1149.608125
25	1144.109066
26	1138.09473
27	1132.30404
28	1126.796673
29	1123.426761
30	1118.866122
31	1114.514517
32	1111.035966
33	1107.27467
34	1104.097238
35	1102.073825
36	1099.140497
37	1096.699316
38	1094.772776
39	1092.477811
40	1090.518282
41	1088.558961
42	1086.999872
43	1085.702226
44	1084.523748
45	1083.177305
46	1081.937876
47	1080.901528
48	1079.888926
49	1078.71677
50	1078.071313
51	1077.185525
52	1076.438988
53	1075.657747
54	1075.064847
55	1074.2411
56	1073.749089
57	1073.22208
58	1072.704776
59	1072.039016
60	1071.528793
61	1070.954395
62	1070.231544
63	1069.840142
64	1069.317255
65	1069.178073
66	1068.707876
67	1068.08389
68	1067.455037
69	1067.105181
70	1066.703812
71	1066.385133
72	1065.936871
73	1065.468073
74	1065.271188
75	1065.112383
76	1064.829247
77	1064.626033
78	1064.304196
79	1064.245953
80	1064.123348
81	1064.10616
82	1063.821274
83	1063.613505
84	1063.444085
85	1063.116472
86	1062.885554
87	1062.595241
88	1062.283181
89	1062.235128
90	1061.694752
91	1061.487193
92	1061.341743
93	1060.965481
94	1060.922747
95	1060.716493
96	1060.438933
97	1060.236352
98	1060.165246
99	1060.023987
100	1059.92386
101	1059.915165
102	1059.881008
103	1059.752293
104	1059.720984
105	1059.694799
106	1059.528409
107	1059.343578
108	1058.952409
109	1058.519292
110	1058.267436
111	1058.072363
112	1057.97042
113	1057.695883
114	1057.528388
115	1057.391121
116	1057.026782
117	1056.793058
118	1056.672454
119	1056.666527
120	1056.572535
121	1056.468308
122	1056.120099
123	1056.084603
124	1055.990763
125	1055.841727
126	1055.836712
127	1055.781035
128	1055.778817
129	1055.778573
130	1055.282013
131	1054.926717
132	1054.849577
133	1054.786661
134	1054.561675
135	1054.230538
136	1054.156621
137	1054.09317
138	1053.83001
