iter	Passed	Remaining
0	9	9081
1	16	8310
2	21	7267
3	29	7239
4	35	7011
5	40	6738
6	46	6661
7	52	6464
8	58	6444
9	64	6376
10	67	6057
11	70	5766
12	73	5580
13	75	5333
14	78	5123
15	80	4947
16	82	4793
17	85	4651
18	88	4573
19	91	4465
20	94	4414
21	97	4345
22	100	4261
23	102	4181
24	106	4163
25	111	4168
26	113	4102
27	116	4034
28	118	3975
29	120	3895
30	123	3874
31	126	3815
32	128	3750
33	131	3730
34	134	3696
35	135	3630
36	138	3612
37	141	3571
38	143	3527
39	145	3494
40	148	3466
41	151	3453
42	153	3410
43	156	3401
44	158	3370
45	161	3343
46	163	3322
47	165	3282
48	167	3250
49	169	3226
50	172	3212
51	175	3205
52	177	3179
53	180	3162
54	182	3131
55	185	3119
56	188	3111
57	189	3081
58	191	3052
59	193	3036
60	196	3017
61	198	2999
62	200	2978
63	202	2956
64	203	2931
65	204	2896
66	207	2883
67	209	2867
68	212	2860
69	214	2843
70	216	2837
71	218	2817
72	224	2852
73	226	2837
74	229	2824
75	230	2804
76	232	2789
77	234	2777
78	238	2778
79	239	2758
80	241	2741
81	242	2717
82	245	2710
83	247	2695
84	249	2681
85	251	2670
86	253	2660
87	255	2649
88	257	2636
89	259	2622
90	261	2615
91	263	2603
92	265	2592
93	268	2586
94	269	2570
95	272	2561
96	273	2547
97	275	2539
98	278	2535
99	281	2532
100	283	2520
101	284	2502
102	286	2493
103	288	2482
104	289	2470
105	290	2451
106	293	2446
107	295	2437
108	297	2429
109	299	2424
110	302	2424
111	305	2420
112	307	2414
113	310	2410
114	312	2403
115	315	2402
116	317	2396
117	319	2388
118	321	2381
119	322	2365
120	326	2370
121	328	2364
122	330	2358
123	333	2352
124	338	2369
125	340	2362
126	342	2353
127	344	2346
128	345	2334
129	346	2319
130	350	2322
131	353	2325
132	358	2337
133	360	2331
134	362	2324
135	365	2320
136	369	2325
137	370	2315
138	372	2307
139	375	2304
140	377	2301
141	380	2299
142	382	2294
143	385	2289
144	387	2283
145	389	2278
146	392	2275
147	394	2268
148	395	2256
149	396	2247
150	397	2234
151	400	2235
152	401	2224
153	403	2217
154	405	2212
155	408	2211
156	410	2206
157	413	2203
158	415	2197
159	418	2195
160	419	2184
161	420	2176
162	423	2174
163	425	2169
164	427	2163
165	429	2158
166	430	2148
167	432	2144
168	435	2138
169	436	2133
170	438	2124
171	440	2120
172	442	2116
173	444	2111
174	446	2106
175	447	2095
176	449	2092
177	451	2086
178	454	2083
179	456	2080
180	458	2076
181	460	2071
182	463	2070
183	465	2064
184	468	2061
185	470	2059
186	473	2057
187	474	2050
188	476	2043
189	478	2041
190	481	2038
191	483	2034
192	485	2030
193	487	2026
194	490	2025
195	492	2021
196	494	2016
197	498	2017
198	500	2014
199	502	2010
200	504	2006
201	507	2003
202	509	1998
203	511	1996
204	514	1993
205	517	1994
206	522	2000
207	524	1998
208	526	1993
209	529	1990
210	531	1988
211	534	1985
212	536	1982
213	538	1978
214	540	1974
215	543	1971
216	544	1966
217	547	1964
218	550	1962
219	552	1959
220	555	1956
221	556	1950
222	558	1944
223	560	1941
224	562	1939
225	565	1935
226	567	1931
227	569	1928
228	574	1934
229	579	1939
230	583	1943
231	589	1951
232	595	1961
233	601	1969
234	608	1979
235	613	1985
236	619	1993
237	624	1998
238	628	2002
239	634	2010
240	640	2018
241	646	2025
242	651	2029
243	654	2028
244	656	2023
245	659	2021
246	661	2017
247	664	2013
248	666	2011
249	669	2009
250	672	2005
251	674	2000
252	676	1996
253	679	1994
254	682	1992
255	684	1989
256	687	1986
257	689	1982
258	691	1979
259	693	1975
260	696	1971
261	699	1969
262	701	1965
263	704	1962
264	706	1958
265	709	1956
266	712	1957
267	717	1958
268	720	1957
269	722	1953
270	724	1949
271	728	1949
272	730	1945
273	733	1942
274	736	1941
275	738	1937
276	740	1933
277	745	1935
278	747	1931
279	750	1930
280	753	1927
281	755	1924
282	759	1925
283	764	1926
284	766	1923
285	770	1922
286	772	1919
287	774	1915
288	782	1924
289	787	1928
290	789	1924
291	792	1920
292	793	1915
293	795	1911
294	798	1908
295	801	1906
296	803	1901
297	805	1898
298	809	1897
299	812	1896
300	814	1891
301	817	1888
302	819	1884
303	821	1881
304	823	1877
305	826	1873
306	828	1869
307	830	1865
308	833	1863
309	836	1860
310	838	1857
311	841	1856
312	844	1853
313	846	1849
314	848	1845
315	851	1843
316	853	1839
317	855	1835
318	860	1836
319	862	1831
320	864	1828
321	867	1825
322	868	1820
323	870	1816
324	873	1813
325	874	1808
326	876	1803
327	878	1799
328	880	1795
