iter	RMSE
0	1658.129364
1	1613.212864
2	1571.988666
3	1533.046817
4	1498.632795
5	1464.805864
6	1434.832022
7	1406.929277
8	1380.172354
9	1355.450427
10	1332.508603
11	1311.82688
12	1291.962343
13	1273.329275
14	1257.615181
15	1243.010094
16	1228.658241
17	1215.969094
18	1204.296145
19	1193.492553
20	1183.806011
21	1174.517772
22	1166.206937
23	1158.235591
24	1151.178488
25	1144.872698
26	1140.654792
27	1134.661013
28	1129.474605
29	1124.566384
30	1119.985154
31	1116.273968
32	1112.260436
33	1109.088901
34	1105.600588
35	1102.57381
36	1099.787316
37	1097.743675
38	1095.604663
39	1093.314724
40	1091.103488
41	1089.474549
42	1087.574552
43	1086.337568
44	1084.997453
45	1084.192392
46	1082.871937
47	1081.734815
48	1080.492665
49	1079.894755
50	1078.712867
51	1077.954682
52	1077.019742
53	1076.065713
54	1075.456795
55	1074.758936
56	1074.104854
57	1073.445078
58	1072.604635
59	1072.366667
60	1071.914002
61	1071.513122
62	1070.825721
63	1070.161013
64	1069.99647
65	1069.511504
66	1069.08576
67	1068.548622
68	1068.095981
69	1067.845471
70	1067.464455
71	1067.094788
72	1066.644787
73	1066.075162
74	1065.772675
75	1065.445878
76	1065.182986
77	1064.793487
78	1064.547984
79	1064.103182
80	1063.59357
81	1063.419129
82	1063.229854
83	1063.002089
84	1062.853566
85	1062.488804
86	1062.009298
87	1061.894192
88	1061.639931
89	1061.234337
90	1061.008279
91	1060.902466
92	1060.754159
93	1060.400977
94	1060.043232
95	1060.017411
96	1059.69175
97	1059.492784
98	1059.298604
99	1059.226376
100	1059.15223
101	1058.898564
102	1058.373167
103	1058.221954
104	1058.143582
105	1057.809268
106	1057.806152
107	1057.553225
108	1057.179579
109	1056.979452
110	1056.583874
111	1056.440712
112	1056.220903
113	1055.936909
114	1055.936909
115	1055.841077
116	1055.60428
117	1055.408742
118	1055.23747
119	1054.789785
120	1054.61574
121	1054.561564
122	1054.42817
123	1054.397556
124	1054.368526
125	1054.246496
126	1054.243691
127	1053.920424
128	1053.653751
129	1053.646865
130	1053.63102
131	1053.562218
132	1053.482503
133	1053.171388
134	1053.168729
135	1052.937106
136	1052.859719
137	1052.763736
138	1052.728934
139	1052.606205
140	1052.157064
141	1052.156993
142	1051.98099
143	1051.641127
144	1051.632041
145	1051.583831
146	1051.201234
147	1051.067488
148	1050.846795
149	1050.762266
150	1050.691183
151	1050.383748
152	1050.272684
153	1050.188966
154	1050.18755
155	1050.142736
156	1049.874968
157	1049.815928
158	1049.815926
159	1049.507903
160	1049.332758
161	1049.131465
162	1048.949619
163	1048.890726
164	1048.890725
165	1048.843237
166	1048.808953
167	1048.734278
168	1048.425555
169	1048.144279
170	1048.125528
171	1047.856642
172	1047.376532
173	1047.067015
174	1047.061025
175	1046.946009
176	1046.689845
177	1046.674037
178	1046.655229
179	1046.454958
180	1046.454446
181	1046.452427
182	1046.451167
183	1046.399273
184	1046.231994
185	1045.991722
186	1045.785802
187	1045.451489
188	1045.067257
189	1044.833101
190	1044.69995
191	1044.342339
192	1043.957572
193	1043.586184
194	1043.287015
195	1043.013482
196	1042.869047
197	1042.674381
198	1042.452681
199	1042.437598
200	1042.410197
201	1042.385937
202	1042.243491
203	1041.835379
204	1041.699015
205	1041.369383
206	1041.170714
207	1041.093415
208	1040.925298
209	1040.717798
210	1040.644896
211	1040.576799
212	1040.575418
213	1040.515823
214	1040.191978
215	1040.020618
216	1039.859088
217	1039.523617
218	1039.511519
219	1039.504733
220	1039.458706
221	1039.340606
222	1039.191503
223	1039.009388
224	1038.909972
225	1038.553283
226	1038.332732
227	1038.193557
228	1038.107093
229	1037.847962
230	1037.591269
231	1037.373235
232	1037.164722
233	1036.830314
234	1036.584956
235	1036.122964
236	1035.930561
237	1035.805212
238	1035.761491
239	1035.479411
240	1035.191662
241	1034.958438
242	1034.657435
243	1034.325753
244	1034.203223
245	1033.904759
246	1033.791444
247	1033.61618
248	1033.41475
249	1033.377999
250	1032.960283
251	1032.41971
252	1032.101979
253	1031.755868
254	1031.419341
255	1031.256672
256	1031.116199
257	1030.933803
258	1030.838023
259	1030.724476
260	1030.480784
261	1030.210755
262	1030.011407
263	1029.910526
264	1029.826582
265	1029.597647
266	1029.442331
267	1029.275236
268	1029.122742
269	1029.0464
270	1028.685484
271	1028.562196
272	1028.419154
273	1028.108819
274	1027.876377
275	1027.547431
276	1027.254765
277	1027.078976
278	1026.952254
279	1026.94108
280	1026.836872
281	1026.678314
282	1026.538142
283	1026.191066
284	1026.065576
285	1025.995318
286	1025.749764
287	1025.641132
288	1025.605557
289	1025.316314
290	1025.145817
291	1025.144942
292	1024.895843
293	1024.895317
294	1024.720452
295	1024.710558
296	1024.604674
297	1024.458463
298	1024.337082
299	1024.146078
300	1023.988207
301	1023.942015
302	1023.614087
303	1023.271157
304	1023.12381
305	1022.995265
306	1022.783746
307	1022.631014
308	1022.539856
309	1022.320937
310	1022.151485
311	1022.066404
312	1021.848455
313	1021.723388
314	1021.376632
315	1021.194655
316	1020.993637
317	1020.899093
318	1020.857065
319	1020.724184
320	1020.541247
321	1020.288829
322	1020.230003
323	1019.981887
324	1019.981469
325	1019.775186
326	1019.547191
327	1019.365258
328	1019.364836
329	1019.364067
330	1019.266743
331	1019.203984
332	1019.072381
333	1019.065973
334	1018.883371
335	1018.874244
336	1018.693718
337	1018.55421
338	1018.178331
339	1017.946376
340	1017.700133
341	1017.442325
342	1017.31375
343	1016.974669
344	1016.962186
345	1016.765886
346	1016.585518
347	1016.295438
348	1016.060133
349	1015.94217
350	1015.725775
351	1015.614541
352	1015.414086
353	1015.340492
354	1015.077783
355	1014.886059
356	1014.885717
357	1014.699676
358	1014.698876
359	1014.516026
360	1014.504737
361	1014.275048
362	1014.207759
363	1013.918485
364	1013.778574
365	1013.724374
366	1013.574004
367	1013.47453
368	1013.362435
369	1013.28273
370	1013.263078
371	1013.082683
372	1012.929123
373	1012.886541
374	1012.570377
375	1012.564559
376	1012.373292
377	1012.283778
378	1011.882074
379	1011.822195
380	1011.779636
381	1011.611468
382	1011.35464
383	1011.163388
384	1011.153509
385	1010.973606
386	1010.874258
387	1010.750999
388	1010.736499
389	1010.675237
390	1010.675158
391	1010.533932
392	1010.256916
393	1010.143261
394	1009.949361
395	1009.860411
396	1009.731057
397	1009.584818
398	1009.57959
399	1009.398992
400	1009.340961
401	1009.043
402	1008.824035
403	1008.687268
404	1008.494136
405	1008.14671
406	1007.904039
407	1007.771416
408	1007.607605
409	1007.607522
410	1007.470206
411	1007.322612
412	1007.131148
413	1006.898572
414	1006.67246
415	1006.56517
416	1006.489771
417	1006.184432
418	1006.003698
419	1005.883325
420	1005.790121
421	1005.66779
422	1005.536929
423	1005.26464
424	1005.180709
425	1004.97255
426	1004.714207
427	1004.553976
428	1004.467517
429	1004.330175
430	1004.27428
431	1004.039463
432	1003.904384
433	1003.606055
434	1003.443424
435	1003.324059
436	1003.161737
437	1003.147915
438	1003.123514
439	1002.981851
440	1002.81777
441	1002.578805
442	1002.576041
443	1002.360296
444	1002.207208
445	1001.956624
446	1001.880464
447	1001.648021
448	1001.466519
449	1001.209989
450	1000.939271
451	1000.763589
452	1000.668177
453	1000.499607
454	1000.38022
455	1000.136631
456	999.970506
457	999.8364917
458	999.7331106
459	999.7240076
460	999.4267935
461	999.2906957
462	999.1540172
463	998.9221372
464	998.6482942
465	998.4942222
466	998.2889322
467	998.1466694
468	997.9737478
469	997.7520284
470	997.6532663
471	997.6366029
472	997.3397055
473	997.2037937
474	996.9460725
475	996.9203294
476	996.84047
477	996.6657286
478	996.5964965
479	996.4455872
480	996.2890072
481	996.1302668
482	996.1289203
