iter	Passed	Remaining
0	2	2579
1	5	2766
2	11	3697
3	15	3959
4	22	4383
5	25	4245
6	28	4111
7	32	4080
8	35	3923
9	41	4155
10	48	4330
11	53	4368
12	58	4447
13	65	4586
14	70	4645
15	75	4616
16	77	4500
17	80	4383
18	82	4279
19	85	4209
20	88	4118
21	90	4022
22	92	3925
23	94	3842
24	96	3777
25	99	3712
26	100	3607
27	102	3559
28	105	3517
29	107	3459
30	108	3406
31	111	3373
32	114	3356
33	116	3316
34	118	3274
35	122	3284
36	125	3261
37	127	3216
38	129	3185
39	131	3156
40	133	3126
41	135	3094
42	137	3059
43	139	3038
44	142	3019
45	143	2972
46	145	2947
47	146	2913
48	148	2878
49	149	2836
50	151	2827
51	153	2806
52	156	2794
53	158	2776
54	162	2787
55	164	2770
56	166	2759
57	168	2738
58	172	2748
59	173	2712
60	175	2694
61	177	2678
62	180	2678
63	182	2665
64	183	2635
65	186	2634
66	189	2637
67	191	2627
68	193	2611
69	195	2598
70	197	2588
71	200	2579
72	202	2571
73	204	2562
74	207	2553
75	209	2548
76	212	2545
77	214	2537
78	217	2530
79	220	2535
80	222	2524
81	224	2513
82	227	2511
83	230	2509
84	232	2498
85	234	2492
86	237	2496
87	239	2485
88	241	2474
89	244	2470
90	246	2464
91	248	2453
92	250	2445
93	253	2441
94	255	2433
95	256	2414
96	258	2410
97	261	2405
98	263	2396
99	265	2387
100	267	2380
101	270	2381
102	273	2381
103	276	2379
104	278	2373
105	280	2367
106	282	2357
107	284	2351
108	286	2343
109	289	2343
110	291	2334
111	294	2333
112	296	2326
113	299	2325
114	300	2313
115	303	2312
116	306	2310
117	308	2307
118	310	2300
119	313	2296
120	315	2293
121	317	2284
122	319	2281
123	322	2276
124	324	2268
125	326	2264
126	327	2250
127	330	2250
128	333	2254
129	335	2242
130	337	2236
131	338	2228
132	341	2224
133	343	2219
134	344	2205
135	347	2205
136	349	2200
137	351	2195
138	354	2195
139	356	2191
140	358	2186
141	359	2174
142	362	2171
143	364	2165
144	367	2166
145	370	2167
146	373	2164
147	375	2161
148	377	2156
149	379	2151
150	382	2152
151	387	2163
152	390	2161
153	392	2158
154	393	2147
155	395	2139
156	397	2135
157	399	2128
158	400	2115
159	402	2111
160	404	2108
161	407	2110
162	409	2104
163	411	2098
164	412	2087
165	414	2084
166	417	2083
167	419	2076
168	421	2072
169	424	2070
170	425	2063
171	428	2060
172	430	2056
173	433	2059
174	434	2048
175	436	2044
176	439	2042
177	441	2039
178	443	2032
179	445	2030
180	446	2020
181	448	2016
182	449	2007
183	451	2004
184	454	2000
185	456	1999
186	459	1995
187	461	1994
188	464	1992
189	466	1989
190	469	1988
191	471	1985
192	473	1981
193	476	1979
194	478	1977
195	481	1973
196	483	1969
197	485	1968
198	489	1969
199	491	1967
200	493	1963
201	496	1959
202	498	1958
203	500	1954
204	503	1950
205	505	1947
206	507	1946
207	510	1943
208	512	1939
209	514	1937
210	517	1933
211	520	1934
212	522	1929
213	524	1924
214	526	1921
215	528	1918
216	530	1915
217	532	1911
218	534	1906
219	536	1901
220	538	1898
221	540	1894
222	543	1892
223	546	1894
224	549	1891
225	551	1887
226	554	1887
227	556	1884
228	558	1879
229	560	1875
230	564	1879
231	566	1875
232	568	1872
233	571	1871
234	573	1867
235	576	1865
236	578	1862
237	580	1859
238	582	1856
239	585	1854
240	588	1853
241	590	1851
242	593	1848
243	595	1844
244	597	1841
245	599	1838
246	602	1835
247	604	1833
248	606	1830
249	608	1825
250	611	1823
251	613	1820
